,label,sentence
6631,anger,"During the Xmas holiday, I and my best friend at Secondary School á had planned to meet at a Cultural afternoon at the Mt. Soche á Hotel after missing each other for such a long time. When I asked á my mother for permission, she told me not to go for no good á reason. I felt very angry with her."
5822,fear,I felt fear when I was young and left in my big house all alone.
4386,sadness,I had failed some subjects in mathematics.
7381,anger,My elder brother often criticizes my mother's cooking.  Once he á did it very impolitely and lost his temper.  This made all of us á very sad.  I was very angry and I scolded him.  He asked me not á to interfere with what was his buisness.
7099,sadness,Death of a relative.
6433,guilt,I felt guilty when I lost K43 for my friend when he was arrested.
7047,joy,Doing unexpectedly well in an examn.
1283,shame,"While working as a domestic helper, one day I had not cleaned up á very well and they made a remark about it."
4526,sadness,[ No response.]
7308,shame,"In an examination ,which other students found easy I could hardly á think and did not know what to answer."
4290,disgust,I read a book whose plot and expressions were obscene and in very á bad taste.
2458,sadness,"A close friend travelled to another country. When I knew that he á would only come back after many years, I felt very sad."
1756,shame,"When I was 6 or 7 years old, I pulled down the trousers of a á friend because I wanted to know what she looked like. My mother á watched that and (as a punishment) sent me into the house. We á never spoke about that; I think it was as embarassing for her as á it was for me. "
497,anger,A drummer who had borrowed my drums destroyed both the drumskin á and the sticks.  He did not repair them nor did he tell me about á it.
7061,joy,Found out that me and my best friend are both chosen for the á English lectures.
2970,shame,I feel this feeling at one and the same degree when I am not á prepared to overcome certain obstacle in my life.
1782,sadness,When my flute-teacher was replaced by a new one.
3302,shame,Cannot recall the emotion with any force.
3337,shame,Felt ashamed when in a group conversation and could not á understand words or comprehend the topic of discussion.
2486,sadness,I felt very sad when I saw the first list from the names of the á people who entered at the University and my name wasn't there.
3074,guilt,I had undertaken to help my sister for her class work but some á unexpected circumstances prevented me from doing that.
1719,sadness,"I arranged with a friend to go skating the next day. He asked me á to wake him up by telephone at twelve o'clock because we had come á home late in the morning. Next day I called him - he was not at á home. As something like that had happened to me several times á before, I came to the conclusion that one cannot rely on anybody á and I felt very sad."
3838,joy,My sister and brother in law returned from Sri Lanka where they á adopted a child. I went to pick them up at the airport.
5810,sadness,Recent break-up with my girlfriend. We had been together for over á a year. I was overseas and discovered over the phone (while I was á at work).
3924,anger,Once again my parents distroyed a relationship.
7193,guilt,Not handing in homework in time.
4856,disgust,Someone stole a K10 note and the teacher thought that it was me á when I was not responsible for the theft.
4567,anger,When my aunt told me angrily that I was a good-for-nothing and á she was fed up with my behaviour.
995,sadness,When I came to know that a girl I was fond of already had a á boyfriend.
3604,joy,When I won the first prize in a cross country race.
4705,joy,I was in grade 7.  We had an inter-house volley-ball competition. á  In Luapula I was the youngest member of the team and I scored  á the winning goal using my head.  I jumped up with joy and fell á down.
5686,disgust,I was playing a sport in an advanced PE class and many of the á people were not advanced.
6772,joy,"I was joyful when I received a present (2 books and a pencil) á from the headmaster in standard 6 because I had passed, I became á No 1 and he said I was one of the pupils who had good behaviour."
4246,anger,"When they threw my holder down on the floor, with all my notes for á an exam inside it and they got all mixed up."
2546,joy,"I felt glad to live again when I went to a meeting about the á \Knowledge\"". There are 4 techniques of meditation that connect á you with the essence of the human being."""
1061,joy,My joy was the joy of meeting again.  My husband came home after á having been away for weeks (for work).  I was on the railway á station to meet him.
345,disgust,"My parents attitude towards each other when they should become á reconciled, despite my father's long-time addiction."
2948,guilt,Some days ago I had a slight car accident through my fault.
90,guilt,When I complained about a colleague to the manager and he told á her that someone had complained; this colleague came to me á believing that I liked her.
3890,sadness,The end of a relationship (after 4 years) by doing this I hurt á the other person very much.
3795,sadness,"When a close relative of mine passed away, it was the first time á that someone so close to me had died."
3372,shame,Cannot remember such a situation.
2774,shame,When I do something unworthy.
6020,shame,When my co-resident opened the bathroom door while I was bathing á inside.
1135,disgust,"When I was watching a movie with many violent episodes.  They á accurately showed the cutting of corpses, etc..."
5091,fear,I got a very nasty electrical shock when I was tampering with á some electrical applainces.á 
3038,sadness,"Sadness, no, I felt something much stronger when my father died."
1429,guilt,"I came home from a discotheque at half past four in the morning, á although I had promised my parents to come home at midnight. From á 3 a.m. I felt guilty towards my parents."
6542,disgust,In May somebody blamed me that I made him to be caught while á peeping during the Nursing Test which made me feel disgusted.
4654,shame,When I got drunk at a party and made a fool of myself by á vomitting all over the place and insulting the people who were á there with me.
7194,joy,Having a good trip on a boat with good friends.
2206,anger,An unjust calumny concerning me.
1910,joy,"On my birthday, when a very close friend sent me a huge bouquet á of flowers."
4817,joy,When I was accepted for my third year (G-10) at my former á secondary school.
6632,sadness,When I was transferred from Chichiri Secondary School to St. á Mary's Sec. School. I was happy at Chichiri as a day scholer and á had made a lot of friends. I was going to a boarding and that á meant parting with my friends as well as my boyfriend for the á first time.
5118,joy,When I received the acceptance letter from UNZA.  I had just á come home from work when my kind sister handed me an enveloppe á which I opened and was overcome with joy.
674,sadness,When I heard that a good friend had committed suicide.
1680,shame,At a cross-country race I wanted to take a short-cut (which is á not allowed). I was caught and disqualified. All my friends had á observed that.
1983,sadness,Death of grandmother.
6693,fear,I was afraid to walk through the forest one day when I dropped á off the bus around 6.30 pm.
4332,disgust,They asked me to throw the rubbish into a dustbin which had some á awful liquid accumulated at the bottom.
2117,anger,"While at school I had to write an essay for doing something wrong á that I didn't do. I wrote the essay about how I was mistreated and á got Saturday morning detention along with a few other kids, but á they didn't show up."
4932,sadness,This morning during my sleep I had a feeling that someboby was á attacking me.  I started crying in my sleep and then my room-mate á woke me up.
924,anger,"My father accused my brother of having bumped his car, and it was á wrong."
5415,fear,Finding out about people can go mad for social reasons.
7378,guilt,I made my boyfriend so unhappy and depressed that I feel guilty.
